Date,Result
2025-02-01,30406
2025-02-02,10849
2025-02-03,28331
2025-02-04,61892
2025-02-05,75565
2025-02-06,79094
2025-02-07,47284
2025-02-08,98015
2025-02-09,20700
2025-02-10,67488
2025-02-11,94533
2025-02-12,14081
2025-02-13,19492
2025-02-14,20775
2025-02-15,84907
2025-02-16,32774
2025-02-17,83976
2025-02-18,67074
2025-02-19,58594
2025-02-20,58530
2025-02-21,35275
2025-02-22,40548
2025-02-23,44393
2025-02-24,06670
2025-02-25,14632
2025-02-26,12483
2025-02-27,06726
2025-02-28,58561
2025-03-01,21878
2025-03-02,83389
2025-03-03,89887
2025-03-04,07644
2025-03-05,94058
2025-03-06,19227
2025-03-07,89843
2025-03-08,55323
2025-03-09,24570
2025-03-10,71137
2025-03-11,78707
2025-03-12,30138
2025-03-13,13954
2025-03-14,56014
2025-03-15,51209
2025-03-16,40809
2025-03-17,79156
2025-03-18,31126
2025-03-19,67957
2025-03-20,82577
2025-03-21,80398
2025-03-22,71049
2025-03-23,24743
2025-03-24,94069
2025-03-25,92707
2025-03-26,67511
2025-03-27,22086
2025-03-28,99561
2025-03-29,52309
2025-03-30,49920
2025-03-31,57642
2025-04-01,39495
2025-04-02,30261
2025-04-03,74230
2025-04-04,01579
2025-04-05,56795
2025-04-06,65468
2025-04-07,38145
2025-04-08,63065
2025-04-09,32903
2025-04-10,52451
2025-04-11,55560
2025-04-12,49629
2025-04-13,37588
2025-04-14,77639
2025-04-15,20980
2025-04-16,79426
2025-04-17,39455
2025-04-18,52919
2025-04-19,98534
2025-04-20,52695
2025-04-21,84599
2025-04-22,77007
2025-04-23,10505
2025-04-24,83621
2025-04-25,29964
2025-04-26,41504
2025-04-27,61973
2025-04-28,50819
2025-04-29,69507
2025-04-30,18167
2025-05-01,08621
2025-05-02,46430
2025-05-03,16507
2025-05-04,51856
2025-05-05,45623
2025-05-06,78804
2025-05-07,14237
2025-05-08,75863
2025-05-09,28574
2025-05-10,57059
2025-05-11,98986
2025-05-12,18270
2025-05-13,68966
2025-05-14,93206
2025-05-15,31881
2025-05-16,87548
2025-05-17,33693
2025-05-18,61500
2025-05-19,99267
2025-05-20,54291
2025-05-21,96173
2025-05-22,81812
2025-05-23,34284
2025-05-24,54517
2025-05-25,57367
2025-05-26,83051
2025-05-27,46795
2025-05-28,27500
2025-05-29,85070
2025-05-30,08890
2025-05-31,53388
2025-06-01,16098
2025-06-02,94163
2025-06-03,28668
2025-06-04,82123
2025-06-05,19635
2025-06-06,39711
2025-06-07,80880
2025-06-08,68206
2025-06-09,23128
2025-06-10,55175
2025-06-11,97660
2025-06-12,13101
2025-06-13,87385
2025-06-14,83782
2025-06-15,87707
2025-06-16,73463
2025-06-17,27836
2025-06-18,71018
2025-06-19,22077
2025-06-20,27718
2025-06-21,16146
2025-06-22,53602
2025-06-23,50865
2025-06-24,73154
2025-06-25,14407
2025-06-26,88699
2025-06-27,29914
2025-06-28,46992
2025-06-29,07607
2025-06-30,91847
2025-07-01,51255
2025-07-02,30518
2025-07-03,39862
2025-07-04,93954
2025-07-05,04522
2025-07-06,42006
2025-07-07,11323
2025-07-08,26521
2025-07-09,32794
2025-07-10,48507
2025-07-11,05651
2025-07-12,05272
2025-07-13,02512
2025-07-14,43421
2025-07-15,41222
2025-07-16,14934
2025-07-17,46911
2025-07-18,03027
2025-07-19,08069
2025-07-20,31618
2025-07-21,41068
2025-07-22,10968
2025-07-23,67778
2025-07-24,30483
2025-07-25,10441
2025-07-26,46259
2025-07-27,02098
2025-07-28,40599
2025-07-29,92528
2025-07-30,46879
2025-07-31,98825
2025-08-01,71569
2025-08-02,25337
2025-08-03,28670
2025-08-04,65902
2025-08-05,08957
2025-08-06,72208
2025-08-07,47866
2025-08-08,67735
2025-08-09,48656
2025-08-10,52802
2025-08-11,57133
2025-08-12,49081
2025-08-13,42929
2025-08-14,82502
2025-08-15,02614
2025-08-16,90521
2025-08-17,91819
2025-08-18,89803
